iata_code	name	timezone
MTX	Metro Field Airport	America/Anchorage
MTY	General Mariano Escobedo International Airport	America/Monterrey
MTZ	Bar Yehuda Airfield	Asia/Jerusalem
MUA	Munda	Pacific/Guadalcanal
MUB	Maun Airport	Africa/Gaborone
MUC	Munich International Airport	Europe/Berlin
MUD	Mueda	Africa/Maputo
MUE	Waimea-Kohala Airport	Pacific/Honolulu
MUF	Muting Airport	Asia/Jayapura
MUG	Mulege Airport	America/Mazatlan
MUH	Mersa Matruh Airport	Africa/Cairo
MUI	Muir Army Airfield	America/New_York
MUJ	Mui	Africa/Addis_Ababa
MUK	Mauke Airport	Pacific/Rarotonga
MUL	Spence Airport	America/New_York
MUM	MUMIAS/KE	Africa/Nairobi
MUN	Maturín	America/Caracas
MUO	Mountain Home Air Force Base	America/Boise
MUP	Mulga Park Airport	Australia/Darwin
MUQ	Muccan Station Airport	Australia/Perth
MUR	Marudi	Asia/Kuching
MUS	Minami Torishima Airport	Asia/Tokyo
MUT	Muscatine Municipal Airport	America/Chicago
MUV	Philadelphia PA US Mustin Alf	America/New_York
MUW	Ghriss Airport	Africa/Algiers
MUX	Multan International Airport	Asia/Karachi
MUY	Mouyondzi Airport	Africa/Brazzaville
MUZ	Musoma Airport	Africa/Dar_es_Salaam
MVA	Reykjahlíð Mývatn Airport	Atlantic/Reykjavik
MVB	Franceville / Mvengue Airport	Africa/Libreville
MVC	Monroeville	America/Chicago
MVD	Carrasco International Airport	America/Montevideo
MVE	Montevideo-Chippewa County Airport	America/Chicago
MVF	Mocoro / 17 Rosado	America/Fortaleza
MVG	Mevang	Africa/Libreville
MVH	Macksville	Australia/Sydney
MVI	Manetai Airport	Pacific/Port_Moresby
MVJ	Marlboro Airfield	America/Jamaica
MVK	Mulka Station	Australia/Adelaide
MVL	Stowe	America/New_York
MVM	Kayenta Airport	America/Denver
MVN	Mount Vernon Airport	America/Chicago
MVO	Mongo	Africa/Ndjamena
MVP	Fabio Alberto León Bentley Airport	America/Bogota
MVQ	Mogilev Airport	Europe/Minsk
MVR	Salak Airport	Africa/Douala
MVS	Mucuri Airport	America/Bahia
MVT	Mataiva Airport	Pacific/Tahiti
MVU	Musgrave	Australia/Brisbane
MVV	Megève Altiport	Europe/Paris
MVW	Burlington	America/Los_Angeles
MVX	Minvoul Airport	Africa/Libreville
MVY	West Tisbury	America/New_York
MVZ	Masvingo Airport	Africa/Harare
MWA	Williamson County Regional Airport	America/Chicago
MWB	Morawa Airport	Australia/Perth
MWC	Lawrence J. Timmerman Airport	America/Chicago
MWD	PAF Base M.M. Alam	Asia/Karachi
MWE	Merowe Airport	Africa/Khartoum
MWF	Maewo Naone Airport	Pacific/Efate
MWG	Marawaka	Pacific/Port_Moresby
MWH	Moses Lake	America/Los_Angeles
MWI	Maramuni Airport	Pacific/Port_Moresby
MWJ	Matthews Ridge	America/Guyana
MWK	Matak	Asia/Jakarta
MWL	Mineral Wells Airport	America/Chicago
MWM	Windom Municipal Airport	America/Chicago
MWN	Mwadui Airport	Africa/Dar_es_Salaam
MWO	Middletown	America/New_York
MWP	Mountain Airport	Asia/Kathmandu
MWQ	Magway Airport	Asia/Yangon
MWR	Motswari Game Reserve	Africa/Johannesburg
MWS	IMIP Airport	Asia/Makassar
MWT	Moolawatana Airport	Australia/Adelaide
MWU	Mussau	Pacific/Port_Moresby
MWV	Môndól Kiri Airport	Asia/Phnom_Penh
MWW	Mouscron	Europe/Brussels
MWX	Muan International Airport	Asia/Seoul
MWY	Miranda Downs Airport	Australia/Brisbane
MWZ	Mwanza Airport	Africa/Dar_es_Salaam
MXA	Manila Municipal Airport	America/Chicago
MXB	Andi Jemma Airport	Asia/Makassar
MXC	Monticello Airport	America/Denver
MXD	Marion Downs Airport	Australia/Brisbane
MXE	Maxton	America/New_York
MXF	Maxwell Air Force Base / Montgomery	America/Chicago
MXG	Marlborough	America/New_York
MXH	Moro Airport	Pacific/Port_Moresby
MXI	Mati Airport	Asia/Manila
MXJ	Minna Airport	Africa/Lagos
MXK	Mindik	Pacific/Port_Moresby
MXL	General Rodolfo Sánchez Taboada International Airport	America/Tijuana
MXM	Morombe Airport	Indian/Antananarivo
MXN	Morlaix – Ploujean Airport	Europe/Paris
MXO	Monticello Regional Airport	America/Chicago
MXP	Milano Malpensa Airport	Europe/Rome
MXQ	Aeródromo de Lorenzo	America/Bahia
MXR	Myrhorod Airport	Europe/Kiev
MXS	Maota Airport	Pacific/Apia
MXT	Maintirano Airport	Indian/Antananarivo
MXU	Mullewa Airport	Australia/Perth
MXV	Mörön Airport	Asia/Ulaanbaatar
MXW	Mandalgovi Airport	Asia/Ulaanbaatar
MXX	Mora	Europe/Stockholm
MXY	McCarthy	America/Anchorage
MXZ	Meixian Airport	Asia/Shanghai
MYA	Moruya Airport	Australia/Sydney
MYB	Mayumba	Africa/Libreville
MYC	Maracay	America/Caracas
MYD	Malindi Airport	Africa/Nairobi
MYE	Miyakejima Airport	Asia/Tokyo
MYF	Montgomery Field Airport	America/Los_Angeles
MYG	Mayaguana	America/Nassau
MYH	Marble Canyon	America/Phoenix
MYI	Murray Island	Australia/Brisbane
MYJ	Matsuyama Airport	Asia/Tokyo
MYK	May Creek Airport	America/Anchorage
MYL	McCall Airport	America/Boise
MYM	Monkey Mountain Airport	America/Guyana
MYN	Marib	Asia/Aden
MYO	Camballin Airport	Australia/Perth
MYP	Mary Airport	Asia/Ashgabat
MYQ	Mysore Airport	Asia/Kolkata
MYR	Myrtle Beach International Airport	America/New_York
MYT	Myitkyina Airport	Asia/Yangon
MYU	Mekoryuk	America/Nome
MYV	Yuba County Airport	America/Los_Angeles
MYW	Mtwara Airport	Africa/Dar_es_Salaam
MYX	Menyamya	Pacific/Port_Moresby
MYY	Miri Airport	Asia/Kuching
MYZ	Monkey Bay Airport	Africa/Blantyre
MZA	Manuel Prado Airport	America/Lima
MZB	Mocímboa da Praia Airport	Africa/Maputo
MZC	Mitzic	Africa/Libreville
MZD	Méndez	America/Guayaquil
MZE	Manatee County	America/New_York
MZF	Mzamba Wild Coast	Africa/Johannesburg
MZG	Penghu Magong Airport	Asia/Taipei
MZH	Merzifon	Europe/Istanbul
MZI	Mopti Airport	Africa/Bamako
MZJ	Pinal Airpark	America/Phoenix
MZK	Marakei Airport	Pacific/Tarawa
MZL	La Nubia Airport	America/Bogota
MZM	Metz-Frescaty	Europe/Paris
MZN	Minj Airport	Pacific/Port_Moresby
MZO	Manzanillo, Oriente	America/Havana
MZP	Motueka	Pacific/Auckland
MZQ	Mkuze	Africa/Johannesburg
MZR	Mazar-i-Sharif Airfield	Asia/Kabul
MZS	Mostyn Airport	Asia/Kuching
MZT	General Rafael Buelna International Airport	America/Mazatlan
MZU	Muzaffarpur Airport	Asia/Kolkata
MZV	Gunung Mulu National Park	Asia/Kuching
MZW	Mecheria Airport	Africa/Algiers
MZX	Mena	Africa/Addis_Ababa
MZY	Mossel Bay Cape Saint Blaize	Africa/Johannesburg
MZZ	Marion Municipal Airport	America/Indiana/Indianapolis
NAA	Narrabri Airport	Australia/Sydney
NAB	Albany Naval Air Station (historical)	America/New_York
NAC	Naracoorte Airport	Australia/Adelaide
NAD	Macanal	America/Bogota
NAE	Natitingou	Africa/Porto-Novo
NAF	Banaina Airport	Asia/Makassar
NAG	Dr. Babasaheb Ambedkar International Airport	Asia/Kolkata
NAH	Naha Airport	Asia/Makassar
NAI	Annai Airport	America/Guyana
NAJ	Nakhchivan International Airport	Asia/Baku
NAK	Nakhon Ratchasima Airport	Asia/Bangkok
NAL	Nalchik Airport	Europe/Moscow
NAM	Namlea Airport	Asia/Jayapura
NAN	Nadi International Airport	Pacific/Fiji
NAO	Nanchong Gaoping Airport	Asia/Shanghai
NAP	Naples International Airport	Europe/Rome
NAQ	Qaanaaq Airport	America/Thule
NAR	Puerto Nare Airport	America/Bogota
NAS	Nassau	America/Nassau
NAT	Greater Natal International Airport	America/Fortaleza
NAU	Napuka Airport	Pacific/Tahiti
NAV	Nevşehir Kapadokya Airport	Europe/Istanbul
NAW	Narathiwat	Asia/Bangkok
NAX	NAS Barbers Point	Pacific/Honolulu
NAY	Beijing Nanyuan Airport	Asia/Shanghai
NAZ	Star Harbour	Pacific/Guadalcanal
NBA	Nambaiyufa	Pacific/Port_Moresby
NBB	Barranco Minas Airport	America/Bogota
NBC	Begishevo Airport	Europe/Moscow
NBE	Enfidha – Hammamet International Airport	Africa/Tunis
NBG	New Orleans, Naval Air Station - Alvin Callender Field	America/Chicago
NBH	Nambucca Heads Airport	Australia/Sydney
NBL	San Blas Airport	America/Panama
NBN	Annobon Airport	Africa/Malabo
NBO	Jomo Kenyatta International Airport	Africa/Nairobi
NBP	Battery Park Ferry Port	America/New_York
NBR	Nambour Airport	Australia/Brisbane
NBS	Changbaishan Airport	Asia/Shanghai
NBU	Naval Air Station Glenview (historical)	America/Chicago
NBV	Cana Brava Airport	America/Sao_Paulo
NBW	Guantanamo Bay Naval Base	America/Havana
NBX	Nabire Airport	Asia/Jayapura
NCA	North Caicos Airport	America/Grand_Turk
NCE	Nice Côte d'Azur International Airport	Europe/Paris
NCG	Nuevo Casas Grandes Municipal Airport	America/Chihuahua
NCH	Nachingwea Airport	Africa/Dar_es_Salaam
NCI	Necocli Airport	America/Bogota
NCJ	Sunchales Airport	America/Argentina/Cordoba
NCL	Newcastle International Airport	Europe/London
NCN	Chenega Bay Airport	America/Anchorage
NCO	Quonset State Airport	America/New_York
NCP	Luzon Is	Asia/Manila
NCR	San Carlos	America/Managua
NCS	Newcastle Airport	Africa/Johannesburg
NCT	Nicoya Airport	America/Costa_Rica
NCU	Nukus / Karakalpakstan	Asia/Samarkand
NCY	Annecy-Meythet	Europe/Paris
NDA	Bandanaira Airport	Asia/Jayapura
NDB	Nouadhibou International Airport	Africa/Nouakchott
NDC	Nanded Airport	Asia/Kolkata
NDD	Sumbe Airport	Africa/Luanda
NDE	Mandera Airport	Africa/Nairobi
NDF	Ndalatandos Airport	Africa/Luanda
NDG	Qiqihar Sanjiazi Airport	Asia/Shanghai
NDH	Shunde Central Bus Station	Asia/Shanghai
NDI	Namudi	Pacific/Port_Moresby
NDJ	N'Djamena International Airport	Africa/Ndjamena
NDK	Namdrik Airfield	Pacific/Majuro
NDL	N'Dele	Africa/Bangui
NDM	Mendi Airport	Africa/Addis_Ababa
NDN	Nadunumu Airport	Pacific/Port_Moresby
NDO	La Palma del Condado Railway Station	Europe/Madrid
NDP	NAS Pensacola Ellyson	America/Chicago
NDR	Nador International Airport	Africa/Casablanca
NDS	Sandstone Airport	Australia/Perth
NDU	Rundu Airport	Africa/Windhoek
NDV	Anacostia	America/New_York
NDY	Sanday Airport	Europe/London
NEA	Glynco	America/New_York
NEC	Necochea Airport	America/Argentina/Buenos_Aires
NEF	Neftekamsk Airport	Asia/Yekaterinburg
NEG	Negril Aerodrome	America/Jamaica
NEI	Terney Airport	Asia/Vladivostok
NEJ	Nejjo Airport	Africa/Addis_Ababa
NEK	Nekemte Airport	Africa/Addis_Ababa
NEL	Lakehurst	America/New_York
NEN	Whitehouse Naval Outlying Field	America/New_York
NER	Chulman Airport	Asia/Yakutsk
NES	East 34th Street Ferry Landing	America/New_York
NET	New Bight Airport	America/Nassau
NEU	Sam Neua Airport	Asia/Vientiane
NEV	Charlestown	America/St_Kitts
NEW	Lakefront Airport	America/Chicago
NFF	Nanhai CN Cz Bus Station	Asia/Shanghai
NFG	Nefteyugansk Airport	Asia/Yekaterinburg
NFL	Naval Air Station Fallon	America/Los_Angeles
NFO	Niuafoʻou Airport	Pacific/Tongatapu
NFR	Nafoora	Africa/Tripoli
NGA	Young Airport	Australia/Sydney
NGB	Ningbo Lishe International Airport	Asia/Shanghai
NGC	North Rim Airport	America/Phoenix
NGD	Auguste George Airport	America/Tortola
NGE	Ngaoundéré Airport	Africa/Douala
NGF	Marine Corps Air Station Kaneohe Bay	Pacific/Honolulu
NGI	Ngau Airport	Pacific/Fiji
NGK	Nogliki	Asia/Sakhalin
NGL	Ngala Airport	Africa/Johannesburg
NGM	Guam Agana NAS	Pacific/Guam
NGN	Nargana Airport	America/Panama
NGO	Chūbu Centrair International Airport	Asia/Tokyo
NGP	Corpus Christi, Corpus Christi Naval Air Station/Truax Field	America/Chicago
NGQ	Ngari Gunsa Airport	Asia/Shanghai
NGR	Ningerum Airport	Pacific/Port_Moresby
NGS	Nagasaki Airport	Asia/Tokyo
NGU	Naval Station Norfolk Chambers Field	America/New_York
NGW	Cabaniss Field	America/Chicago
NGX	Manang Airport	Asia/Kathmandu
NGY	Nagoya Bus Station	Asia/Tokyo
NGZ	Naval Air Station Alameda	America/Los_Angeles
NHA	Nha Trang Air Base	Asia/Ho_Chi_Minh
NHD	Al Minhad Air Base	Asia/Dubai
NHF	New Halfa	Africa/Khartoum
NHG	Nanchang Railway Station	Asia/Shanghai
NHK	Naval Air Station Patuxent River	America/New_York
NHS	Nushki Airport	Asia/Karachi
NHT	RAF Northolt	Europe/London
NHV	Nuku Hiva Airport	Pacific/Marquesas
NHX	Naval Outlying Field Barin	America/Chicago
NHZ	Naval Air Station Brunswick	America/New_York
NIA	Nimba	Africa/Monrovia
NIB	Nikolai	America/Anchorage
NIC	Nicosia	Asia/Nicosia
NID	Ridgecrest Community Hospital Heliport	America/Los_Angeles
NIE	Niblack	America/Juneau
NIF	Nifty Copper Mine	Australia/Perth
NIG	Nikunau Airfield	Pacific/Tarawa
NIK	Niokolo-Koba	Africa/Dakar
NIM	Diori Hamani International Airport	Africa/Niamey
NIN	Ninilchik	America/Anchorage
NIO	Nioki Airport	Africa/Kinshasa
NIP	Jacksonville, Naval Air Station	America/New_York
NIQ	Niaqornat Heliport	America/Nuuk
NIR	Naval Air Station, Chase Field	America/Chicago
NIS	Simberi Island	Pacific/Port_Moresby
NIT	Niort-Souché	Europe/Paris
NIU	Niau Airport	Pacific/Tahiti
NIX	Nioro Airport	Africa/Bamako
NJA	Atsugi United States Naval Air Station	Asia/Tokyo
NJB	Neijiang Railway Station	Asia/Shanghai
NJC	Nizhnevartovsk Airport	Asia/Yekaterinburg
NJF	Al Najaf International Airport	Asia/Baghdad
NJJ	Heihe Nenjiang Melgen Airport	Asia/Shanghai
NJK	El Centro, Naval Air Facility	America/Los_Angeles
NKA	Nkan Airport	Africa/Libreville
NKB	Noonkanbah Airport	Australia/Perth
NKC	Nouakchott Airport	Africa/Nouakchott
NKD	Sinak	Asia/Jayapura
NKG	Nanjing Lukou International Airport	Asia/Shanghai
NKI	Naukiti Bay Seaplane Base	America/Juneau
NKJ	Nanjing South Railway Station	Asia/Shanghai
NKL	Nkolo Fuma Airport	Africa/Kinshasa
NKM	Nagoya Airfield	Asia/Tokyo
NKN	Nankina	Pacific/Port_Moresby
NKO	Ankokoambo Airport	Indian/Antananarivo
NKP	Nukutepipi Airport	Pacific/Tahiti
NKS	Nkongsamba	Africa/Douala
NKT	Şırnak Airport	Europe/Istanbul
NKU	Nkaus	Africa/Maseru
NKV	Nichen Cove Seaplane Base	America/Metlakatla
NKW	Naval Support Facility Diego Garcia	Indian/Chagos
NKX	Miramar Marine Corps Air Station	America/Los_Angeles
NKY	Nkayi	Africa/Brazzaville
NLA	Ndola Airport	Africa/Lusaka
NLC	Lemoore Naval Air Station (Reeves Field)	America/Los_Angeles
NLD	Nuevo Laredo	America/Matamoros
NLE	Niles	America/Detroit
NLF	Darnley Island Airport	Pacific/Port_Moresby
NLG	Nelson Lagoon Airport	America/Anchorage
NLH	Ninglang Luguhu Airport	Asia/Shanghai
NLI	Nikolayevsk-on-Amur Airport	Asia/Vladivostok
NLK	Norfolk Island Airport	Pacific/Norfolk
NLL	Nullagine Airport	Australia/Perth
NLN	Kneeland Airport	America/Los_Angeles
NLO	N'Dolo Airport	Africa/Kinshasa
NLP	Nelspruit Airport	Africa/Johannesburg
NLS	Nicholson Airport	Australia/Perth
NLT	Nalati Airport	Asia/Urumqi
NLU	Santa Lucía Air Force Base Num 1	America/Mexico_City
NLV	Mykolaiv Airport	Europe/Kiev
NMA	Namangan Airport	Asia/Tashkent
NMB	Daman Airport	Asia/Kolkata
NMC	Norman's Cay Airport	America/Nassau
NME	Nightmute Airport	America/Nome
NMF	Maafaru International Airport	Indian/Maldives
NMG	San Miguel	America/Panama
NML	Fort McMurray/Mildred Lake Airport	America/Edmonton
NMN	Nomane	Pacific/Port_Moresby
NMP	New Moon	Australia/Brisbane
NMR	Nappa Merrie Airport	Australia/Brisbane
NMS	Namsang Airport	Asia/Yangon
NMT	Namtu Airport	Asia/Yangon
NMU	Namu Airport	Pacific/Kwajalein
NNA	Kenitra Air Base	Africa/Casablanca
NNB	Santa Ana Island Airport	Pacific/Guadalcanal
NND	Nangade	Africa/Maputo
NNE	Gare de Narbonne	Europe/Paris
NNG	Nanning Airport	Asia/Shanghai
NNI	Namutoni Airport	Africa/Windhoek
NNK	Naknek Airport	America/Anchorage
NNL	Nondalton	America/Anchorage
NNM	Naryan Mar Airport	Europe/Moscow
NNR	Connemara Regional Airport	Europe/Dublin
NNT	Nan	Asia/Bangkok
NNU	Nanuque Airport	America/Sao_Paulo
NNX	Nunukan Airport	Asia/Makassar
NNY	Nanyang Jiangying Airport	Asia/Shanghai
NOA	Naval Air Station Nowra	Australia/Sydney
NOB	Nosara Airport	America/Costa_Rica
NOC	Ireland West Airport Knock	Europe/Dublin
NOD	Norden-Norddeich	Europe/Berlin
NOG	Nogales	America/Hermosillo
NOH	Naval Air Station Glenview (historical)	America/Chicago
NOI	Novorossiysk	Europe/Moscow
NOJ	Noyabrsk Airport	Asia/Yekaterinburg
NOK	Nova Xavantina	America/Cuiaba
NOL	Nakolik River	America/Anchorage
NOM	Nomad River	Pacific/Port_Moresby
NON	Nonouti Airfield	Pacific/Tarawa
NOO	Naoro	Pacific/Port_Moresby
NOP	Sinop Airport	Europe/Istanbul
NOR	Norðfjörður Airport	Atlantic/Reykjavik
NOS	Fascene Nosy Be Airport	Indian/Antananarivo
NOT	Novato	America/Los_Angeles
NOU	La Tontouta International Airport	Pacific/Noumea
NOV	Albano Machado Airport	Africa/Luanda
NOZ	Spichenkovo Airport	Asia/Novokuznetsk
NPA	Naval Air Station Pensacola	America/Chicago
NPE	Hawke's Bay Airport	Pacific/Auckland
NPG	Nipa	Pacific/Port_Moresby
NPH	Nephi	America/Denver
NPL	New Plymouth Airport	Pacific/Auckland
NPO	Nanga Pinoh Airport	Asia/Pontianak
NPP	Napperby	Australia/Darwin
NPR	Novo Progresso Airport	America/Santarem
NPT	Newport State Airport	America/New_York
NPU	San Pedro de Urabá Airport	America/Bogota
NPY	Mpanda Airport	Africa/Dar_es_Salaam
NQA	Millington, Millington Municipal Airport	America/Chicago
NQI	Kingsville, Naval Air Station	America/Chicago
NQL	Niquelândia Airport	America/Sao_Paulo
NQN	Presidente Perón International Airport	America/Argentina/Salta
NQT	Nottingham Airport	Europe/London
NQU	Reyes Murillo Airport	America/Bogota
NQX	Naval Air Station Key West	America/New_York
NQY	Newquay Cornwall Airport	Europe/London
NQZ	Astana Nursultan Nazarbayev International Airport	Asia/Almaty
NRA	Narrandera Airport	Australia/Sydney
NRB	Naval Station Mayport	America/New_York
NRC	Crows Landing Naval Auxiliary Landing Field	America/Los_Angeles
NRD	Norderney	Europe/Berlin
NRE	Namrole Airport	Asia/Jayapura
NRG	Narrogin	Australia/Perth
NRI	Grand Lake Regional Airport	America/Chicago
NRK	Norrköping Airport	Europe/Stockholm
NRL	North Ronaldsay Airport	Europe/London
NRM	Nara Keibane Airport	Africa/Bamako
NRN	Niederrhein Weeze Airport	Europe/Berlin
NRR	José Aponte de la Torre Airport	America/Puerto_Rico
NRS	Ream Field	America/Los_Angeles
NRT	Narita International Airport	Asia/Tokyo
NRY	Newry	Australia/Darwin
NSA	Noosa Airport	Australia/Brisbane
NSB	Bimini North Seaplane Base	America/Nassau
NSE	Milton, Whiting Field Naval Air Station North	America/Chicago
NSF	Camp Springs Andrews AFB	America/New_York
NSH	Noshahr Airport	Asia/Tehran
NSI	Yaounde	Africa/Douala
NSK	Norilsk-Alykel Airport	Asia/Krasnoyarsk
NSL	Slayton	America/Chicago
NSM	Norseman Airport	Australia/Perth
NSN	Nelson Airport	Pacific/Auckland
NSO	Scone Airport	Australia/Sydney
NSP	Sangley Point	Asia/Manila
NSQ	Nuussuaq Heliport	America/Nuuk
NST	Nakhon Si Thammarat	Asia/Bangkok
NSV	Noosa Airport	Australia/Brisbane
NSX	Virgin Gorda VG North Sound La	America/Tortola
NSY	Sigonella	Europe/Rome
NSZ	Nansha Ferry Port	Asia/Shanghai
NTA	Natadola Seaplane Base	Pacific/Fiji
NTB	Notodden Airport	Europe/Oslo
NTC	Santa Carolina	Africa/Maputo
NTD	Point Mugu, Naval Air Warfare Center	America/Los_Angeles
NTE	Nantes Atlantique Airport	Europe/Paris
NTG	Nantong Airport	Asia/Shanghai
NTI	Stenkol Airport	Asia/Jayapura
NTJ	Manti	America/Denver
NTL	Newcastle Airport	Australia/Sydney
NTM	Miracema Do Norte Airport	America/Araguaina
NTN	Normanton Airport	Australia/Brisbane
NTO	Agostinho Neto Airport	Atlantic/Cape_Verde
NTQ	Noto Airport	Asia/Tokyo
NTR	Del Norte International Airport	America/Monterrey
NTT	Niuatoputapu Airport	Pacific/Tongatapu
NTU	Virginia Beach, Oceana, Naval Air Station	America/New_York
NTX	Ranai Airport	Asia/Jakarta
NTY	Pilanesberg International Airport	Africa/Johannesburg
NUA	Gregory Lake Seaplane Base	Asia/Colombo
NUB	Numbulwar Airport	Australia/Darwin
NUD	En Nahud Airport	Africa/Khartoum
NUE	Nuremberg Airport	Europe/Berlin
NUF	Hatton	Asia/Colombo
NUG	Nuguria	Pacific/Bougainville
NUH	Nunchía South Airport	America/Bogota
NUI	Nuiqsut	America/Anchorage
NUJ	Nogeh IR	Asia/Tehran
NUK	Nukutavake Airport	Pacific/Tahiti
NUL	Nulato	America/Anchorage
NUM	Neom City	Asia/Riyadh
NUN	Saufley Field Naval Outlying Field	America/Chicago
NUP	Nunapitchuk Airport	America/Nome
NUQ	Moffett Federal Airfield	America/Los_Angeles
NUR	Nullabor Motel Airport	Australia/Adelaide
NUS	Norsup Airport	Pacific/Efate
NUT	Nutuve	Pacific/Port_Moresby
NUU	Nakuru Airport	Africa/Nairobi
NUW	Naval Air Station Whidbey Island	America/Los_Angeles
NUX	Novy Urengoy Airport	Asia/Yekaterinburg
NVA	Benito Salas Airport	America/Bogota
NVD	Nevada Municipal Airport	America/Chicago
NVG	Nueva Guinea Airport	America/Managua
NVI	Navoi International Airport	Asia/Samarkand
NVJ	Navojoa Airport	America/Hermosillo
NVK	Narvik Airport, Framnes	Europe/Oslo
NVM	Aeroporto Brigadeiro Eduardo Gomes	America/Cuiaba
NVN	Nervino Airport	America/Los_Angeles
NVP	Novo Aripuanã Airport	America/Manaus
NVR	Novgorod Airport	Europe/Moscow
NVS	Nevers-Fourchambault	Europe/Paris
NVT	Navegantes–Ministro Victor Konder International Airport	America/Sao_Paulo
NVY	Neyveli Airport	Asia/Kolkata
NWA	Mohéli Bandar Es Eslam Airport	Indian/Comoro
NWH	Parlin Field	America/New_York
NWI	Norwich International Airport	Europe/London
NWP	Naval Station Argentia	America/St_Johns
NWS	Pier 11 - Wall St Seaplane Base	America/New_York
NWT	Nowata	Pacific/Port_Moresby
NWU	Naval Air Station Bermuda	Atlantic/Bermuda
NXX	Naval Air Station Joint Reserve Base Willow Grove	America/New_York
NYA	Nyagan Airport	Asia/Yekaterinburg
NYC	New York City	America/New_York
NYE	Nyeri Airport	Africa/Nairobi
NYG	Quantico Marine Corps Airfield / Turner Field	America/New_York
NYI	Sunyani Airport	Africa/Accra
NYK	Nanyuki Airport	Africa/Nairobi
NYM	Nadym Airport	Asia/Yekaterinburg
NYN	Nyngan Airport	Australia/Sydney
NYO	Stockholm Skavsta Airport	Europe/Stockholm
NYR	Nyurba Airport	Asia/Yakutsk
NYS	New York Skyports Incorporated Seaplane Base	America/New_York
NYT	Naypyidaw Airport	Asia/Yangon
NYU	Bagan Nyaung U Airport	Asia/Yangon
NYW	Monywa Airport	Asia/Yangon
NZA	Nzagi	Africa/Luanda
NZC	Maria Reiche Neuman Airport	America/Lima
NZE	Nzérékoré Airport	Africa/Conakry
NZH	Manzhouli Airport	Asia/Shanghai
NZL	Zhalantun Chengjisihan Airport	Asia/Shanghai
NZO	Nzoia Airport	Africa/Nairobi
NZW	South Weymouth	America/New_York
NZY	Naval Air Station North Island	America/Los_Angeles
OAA	Forward Operating Base Shank	Asia/Kabul
OAG	Orange Airport	Australia/Sydney
OAH	Shindand Air Base	Asia/Kabul
OAI	Bagram	Asia/Kabul
OAJ	Jacksonville	America/New_York
OAK	Oakland	America/Los_Angeles
OAL	Cacoal Airport	America/Porto_Velho
OAM	Oamaru Airport	Pacific/Auckland
OAN	Olanchito El Arrayán Airport	America/Tegucigalpa
OAR	Marina Municipal Airport	America/Los_Angeles
OAS	Sharan	Asia/Kabul
OAX	Oaxaca - Xoxocotlán International Airport	America/Mexico_City
OAZ	Camp Bastion Air Base	Asia/Kabul
OBA	Oban	Australia/Brisbane
OBC	Obock Airport	Africa/Djibouti
OBD	Obano Airport	Asia/Jayapura
OBE	Okeechobee County Airport	America/New_York
OBF	Oberpfaffenhofen	Europe/Berlin
OBI	Óbidos Airport	America/Santarem
OBL	Oostmalle Air Base	Europe/Brussels
OBM	Morobe (Destroyed)	Pacific/Port_Moresby
OBN	Oban Airport	Europe/London
OBO	Tokachi-Obihiro Airport	Asia/Tokyo
OBS	Aubenas-Ardèche méridionale	Europe/Paris
OBT	Oakland Coliseum Railway Station	America/Los_Angeles
OBU	Kobuk Airport	America/Anchorage
OBX	Obo Airport	Pacific/Port_Moresby
OBY	Ittoqqortoormiit Heliport	America/Scoresbysund
OBZ	Hamburg Central Bus Station	Europe/Berlin
OCA	Ocean Reef Club Airport	America/New_York
OCC	Francisco De Orellana Airport	America/Guayaquil
OCD	Duyun East Railway Station	Asia/Shanghai
OCE	Ocean City Municipal Airport	America/New_York
OCF	Ocala International Airport	America/New_York
OCH	Nacogdoches	America/Chicago
OCI	Oceanic	America/Anchorage
OCJ	Ian Fleming International Airport	America/Jamaica
OCM	Brockman 4 Mine	Australia/Perth
OCN	Oceanside Municipal Airport	America/Los_Angeles
OCS	Corisco International Airport	Africa/Malabo
OCV	Aguas Claras Airport	America/Bogota
OCW	Washington NC US Warren Field	America/New_York
ODA	Ouadda Airport	Africa/Bangui
ODB	Córdoba Airport	Europe/Madrid
ODC	Oakdale Airport	America/Los_Angeles
ODD	Oodnadatta Airport	Australia/Adelaide
ODE	Odense Airport	Europe/Copenhagen
ODH	RAF Odiham	Europe/London
ODJ	Ouanda Djallé Airport	Africa/Bangui
ODL	Cordillo Downs Airport	Australia/Adelaide
ODM	Oakland	America/New_York
ODN	Long Seridan Airport	Asia/Kuching
ODO	Bodaybo Airport	Asia/Irkutsk
ODR	Ord River Airport	Australia/Perth
ODS	Odesa International Airport	Europe/Kiev
ODW	AJ Eisenberg Airport	America/Los_Angeles
ODY	Oudomsay Airport	Asia/Vientiane
OEA	O'Neal Airport	America/Chicago
OEC	Oecusse Airport	Asia/Dili
OEL	Oryol Yuzhny Airport	Europe/Moscow
OEM	Paloemeu	America/Paramaribo
OEO	L O Simenstad Municipal Airport	America/Chicago
OER	Örnsköldsvik Airport	Europe/Stockholm
OES	Antoine de Saint Exupéry Airport	America/Argentina/Salta
OFF	Offutt Air Force Base	America/Chicago
OFI	Ouango Fitini Airport	Africa/Abidjan
OFJ	Ólafsfjörður Airport	Atlantic/Reykjavik
OFK	Norfolk	America/Chicago
OFU	Ofu Airport	Pacific/Pago_Pago
OGA	Searle Airport	America/Denver
